concept URI,concept prefLabel,field,old value,new value,action,language
http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"processing information, ideas and concepts",description,"Evaluate, input, record, transcribe and update data using electronic or manual information systems. ","Evaluate, input, record, transcribe and update data using electronic or manual information systems.",Updated,en
http://data.europa.eu/esco/skill/9f0e78ef-bbe4-4d25-a5a9-f0e98ee99da2,assess offenders' risk behaviour,altLabel,evaluate  offenders' risk behaviour,evaluate offenders' risk behaviour,Updated,en
http://data.europa.eu/esco/skill/a57d3310-3d0f-4678-aa8b-88df49e74f36,tend cold rolling mill,altLabel,monitor  automatic threading machinery,monitor automatic threading machinery,Updated,en
http://data.europa.eu/esco/skill/0ffce932-cec4-4fec-87e6-df23fb6bdc12,find grants,description,Detect possible grants and grant opportunities for their organisation by consulting the foundation or agency offering the funding.  Follow up and complete application processes.,Detect possible grants and grant opportunities for their organisation by consulting the foundation or agency offering the funding. Follow up and complete application processes.,Updated,en
http://data.europa.eu/esco/skill/5beedc50-d136-4240-9bad-db55dc0ab571,perform test in cigarette-making machine,altLabel,implement  test of a cigarette-making machine,implement test of a cigarette-making machine,Updated,en
http://data.europa.eu/esco/skill/f41f860f-91ab-4ca7-a906-483fa9d13c16,prospect new regional contracts,altLabel,identify new  regional contracts,identify new regional contracts,Updated,en
http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,evaluate research activities,description,"Review proposals, progress, impact and outcomes of peer researchers, including through open peer review.
","Review proposals, progress, impact and outcomes of peer researchers, including through open peer review.",Updated,en
http://data.europa.eu/esco/skill/05a5f39f-e6c3-47b9-9824-f5d15e0bc885,depurate shellfish,description,Place shellfish into large tanks of clean water that is continuously disinfected to allow purging of physical impurities. ,Place shellfish into large tanks of clean water that is continuously disinfected to allow purging of physical impurities.,Updated,en
http://data.europa.eu/esco/skill/a6b0802f-4c20-4123-8a84-d6c8631fedb1,"installing, maintaining and repairing electrical, electronic and precision equipment",scopeNote,"Excludes:
- Installing computer software, and configuring computer networks","Excludes:
- Installing computer software, and configuring computer networks.",Updated,en
http://data.europa.eu/esco/skill/688e1fc3-cb58-4d56-85a0-97b84f37fb4a,operate automated stage movement control system,altLabel,control automated stage movement  system,control automated stage movement system,Updated,en
http://data.europa.eu/esco/skill/1893b4bc-0eb2-41de-96e3-9c8f1f1eac41,inspecting food safety and quality,scopeNote,"Examples: 
- check paper quality 
- inspect material

Excludes:
- inspect material","Examples: - check paper quality - inspect material Excludes:
- inspect material.",Updated,en
http://data.europa.eu/esco/skill/2dfa5bd5-c87c-461c-bce9-69b2c58732bd,cartography,description,"The study of interpreting the elements depicted in maps, the measures and technical specifications. ","The study of interpreting the elements depicted in maps, the measures and technical specifications.",Updated,en
http://data.europa.eu/esco/skill/3f0ff149-7726-4205-be63-3c48c5c7cac8,manage cash flow,altLabel,manage  cash income,manage cash income,Updated,en
http://data.europa.eu/esco/skill/A,attitudes and values,scopeNote,"Includes:
- Behaviour which can be learned, improved and assessed

Excludes:
- Labeling people's character","Includes:
- Behaviour which can be learned, improved and assessed Excludes:
- Labeling people's character.",Updated,en
http://data.europa.eu/esco/skill/f5fa2654-52cc-45d2-ac92-ac979dee5d12,engine components,description,"The different engine components, their operation, lifecycle and maintenance and repairing needs. ","The different engine components, their operation, lifecycle and maintenance and repairing needs.",Updated,en
http://data.europa.eu/esco/skill/20697183-d42a-45fc-b8ad-03e49bdb7d9e,manage front operations,scopeNote,"Special situations include language difficulties, lost or damaged personal effects, sickness and injury","Special situations include language difficulties, lost or damaged personal effects, sickness and injury.",Updated,en
http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,think holistically,description,"Take into account indirect and long-term consequences when planning and making decisions. Consider the effects on other people, processes and the environment and include these in your planning. ","Take into account indirect and long-term consequences when planning and making decisions. Consider the effects on other people, processes and the environment and include these in your planning.",Updated,en
http://data.europa.eu/esco/skill/b69cb255-e939-4928-b3fd-9557087dce52,work safely with mobile electrical systems under supervision,altLabel,work safely with cell phone  electrical systems under supervision,work safely with cell phone electrical systems under supervision,Updated,en
http://data.europa.eu/esco/skill/7e420d23-3733-482b-8513-4611f8a70059,remove concrete forms,altLabel,removal of  concrete forms,removal of concrete forms,Updated,en
http://data.europa.eu/esco/skill/bc54eee1-a858-4f80-afdc-0442a617ef50,conduct field work,altLabel,carry out  field work,carry out field work,Updated,en
http://data.europa.eu/esco/skill/4021ae85-8f3d-44e8-ac64-eeebac97f3ce,understand game species,description,"Understan biology and ecology of relevant game specieis including game birds, deer, and fisheries.","Understand biology and ecology of relevant game species including game birds, deer, and fisheries.",Updated,en
http://data.europa.eu/esco/skill/b917784a-d7c9-437c-be6e-0de41067fa62,estimating resource needs,scopeNote,"Examples:
- estimate restoration costs
- forecast production quantities","Examples:
- estimate restoration costs
- forecast production quantities.",Updated,en
http://data.europa.eu/esco/skill/e81f2d1a-9b32-493d-899a-ab87cee06d15,prosthetic-orthotic device materials,altLabel,,prosthetic-orthotic materials,Added,en
http://data.europa.eu/esco/skill/ec410bec-db3c-4950-9f42-d4b3221868a7,decorate furniture,altLabel,paint  furniture,paint furniture,Updated,en
http://data.europa.eu/esco/skill/418e58f5-c50c-4147-baa0-83aeb43b796a,operating painting or coating machinery,scopeNote,"Excludes:
- Operating handheld tools such as handheld spray guns

Examples:
- Galvanise metal workpiece
- Tend coating machine
- Tend dip tank","Excludes:
- Operating handheld tools such as handheld spray guns Examples:
- Galvanise metal workpiece
- Tend coating machine
- Tend dip tank.",Updated,en
http://data.europa.eu/esco/skill/709ba9cf-ad8c-41d8-b09f-3de1ca0692ee,develop food policy,description,"Participate in the decision-making around production and processing techniques, marketing, availability, utilization and consumption of food, in the interest of meeting or furthering social objectives to influence the operation of the food and agriculture system. Food policymakers engage in activities such as regulation of food-related industries, establishing eligibility standards for food assistance programs for the poor, ensuring safety of the food supply, food labeling, and even the qualifications of a product to be considered organic. ","Participate in the decision-making around production and processing techniques, marketing, availability, utilization and consumption of food, in the interest of meeting or furthering social objectives to influence the operation of the food and agriculture system. Food policymakers engage in activities such as regulation of food-related industries, establishing eligibility standards for food assistance programs for the poor, ensuring safety of the food supply, food labeling, and even the qualifications of a product to be considered organic.",Updated,en
http://data.europa.eu/esco/skill/b7e57889-a84f-440c-9e60-459aa69979e9,analyse supply chain trends,altLabel,analyze  supply chain trends,analyze supply chain trends,Updated,en
http://data.europa.eu/esco/skill/4f9e3dd2-fd39-4ea4-aeb0-285119650473,repair prosthetic-orthotic devices,altLabel,,fix prosthetic-orthotic devices,Added,en
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50,predictive maintenance,altLabel,,predictive and preventative maintenance,Added,en
http://data.europa.eu/esco/skill/f8113322-8f1d-43bd-8087-b2b6d0813b7a,determine crystalline structure,altLabel,,identify crystalline structure,Added,en
http://data.europa.eu/esco/skill/8b2841a0-3674-448c-8551-047443f4f7a5,breed ostriches,prefLabel,breed ostriches ,breed ostriches,Updated,en
http://data.europa.eu/esco/skill/ab877a24-335d-4676-b366-c5c06651481a,"communication, collaboration and creativity",scopeNote,"Excludes:
- Communication or interaction with animals","Excludes:
- Communication or interaction with animals.",Updated,en
http://data.europa.eu/esco/skill/8f411286-a9d4-485a-9c1a-535f683c76aa,metal hot rolling technology,altLabel,metal  automatic hot threading  machinery,metal automatic hot threading machinery,Updated,en
http://data.europa.eu/esco/skill/8d4271ca-c9fd-40b3-875f-15f78332a49e,quality standards,altLabel,,quality standards for products,Added,en
http://data.europa.eu/esco/skill/eee446ff-f093-4cfe-abc4-cb58c7199f3b,monitor oil blending process,altLabel,view  oil blending processes,view oil blending processes,Updated,en
http://data.europa.eu/esco/skill/1b94ad6c-c54d-4bdd-858d-81ebef51c5a4,sustainable footwear materials and components,altLabel, green footwear material,green footwear material,Updated,en
http://data.europa.eu/esco/skill/0a295163-3e17-47ad-99ac-2b507ce30adb,designing systems and products,scopeNote,"Excludes:
- Styling hair
- Creating artistic, visual or instructive materials","Excludes:
- Styling hair
- Creating artistic, visual or instructive materials.",Updated,en
http://data.europa.eu/esco/skill/1c00bc98-2713-4c62-82c5-6d86f2e6a4cb,principles of animation,altLabel,,character animation,Added,en
http://data.europa.eu/esco/skill/b7e752ec-7b2e-46e6-ac24-8b1233609c31,leading and motivating,scopeNote,"Excludes:
- Managing, leading or supervising a team or its members.

Examples:
- Motivate employees
- Provide leadership
- Lead board meetings","Excludes:
- Managing, leading or supervising a team or its members. Examples:
- Motivate employees
- Provide leadership
- Lead board meetings.",Updated,en
http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078,analyse scientific data,altLabel,analyze  scientific data,analyze scientific data,Updated,en
http://data.europa.eu/esco/skill/2b4a525a-3d80-4944-9f29-c73fb9984475,monitor flow of gum,altLabel,oversee  flow of gum,oversee flow of gum,Updated,en
http://data.europa.eu/esco/skill/089ddb19-1c7a-43ff-ba64-070f7ce4787a,warehouse operations,description,The basic principles and practices of warehouse operations such as goods storage and the organisation of warehouse facilities. ,The basic principles and practices of warehouse operations such as goods storage and the organisation of warehouse facilities.,Updated,en
http://data.europa.eu/esco/skill/da230865-9d2a-42d9-a42e-37d89753109e,applying material to fill gaps in surfaces,scopeNote,"Examples:
- Fill nail holes in wood planks
- Install insulation blocks
- Grout terrazzo","Examples:
- Fill nail holes in wood planks
- Install insulation blocks
- Grout terrazzo.",Updated,en
http://data.europa.eu/esco/skill/2ed98048-bf2f-47e5-a0de-fd23d6abe2f6,operate floor cleaning equipment,altLabel,operate  cleaning equipment for floors,operate cleaning equipment for floors,Updated,en
http://data.europa.eu/esco/skill/A2.2,demonstrate good manners,scopeNote,"Excludes:
- Demonstrate consideration","Excludes:
- Demonstrate consideration.",Updated,en
http://data.europa.eu/esco/skill/6073bb5f-3d4f-4ca3-864c-8bc2b54dcb50,employ translation techniques,altLabel,employing translation techniques,employing translation techniques,Updated,en
http://data.europa.eu/esco/skill/556a0f07-b5f2-4dc5-ba00-5b3f60c90643,maintain moulds,altLabel,cleaning and repairing of  molds,cleaning and repairing of molds,Updated,en
http://data.europa.eu/esco/skill/56c3ea4b-7cea-44da-969c-c21b07a55030,washing and maintaining textiles and clothing,scopeNote,"Excludes:
- Repairing or adjusting clothes

Examples:
- Iron textiles 
- Eliminate stains 
- Clean household linens","Excludes:
- Repairing or adjusting clothes Examples:
- Iron textiles - Eliminate stains - Clean household linens.",Updated,en
http://data.europa.eu/esco/skill/ca55d9dd-f177-45b6-a2ee-1a4695044b76,carry out stock rotation,description,Execute repositioning of packaged and perishable products with an earlier sell-by date to the front of a shelf.,Execute repositioning of packaged and perishable products with an earlier sell-by date to the front of a shelf.,Updated,en
http://data.europa.eu/esco/skill/bf5b03ef-6d1b-4e67-9f9f-1f655e404542,operate heat sealing machinery,altLabel,use  heat sealing machinery,use heat sealing machinery,Updated,en
http://data.europa.eu/esco/skill/a3ce2bf7-5562-4639-9b52-fdb4850a3904,ICT problem management techniques,altLabel,,ICT problem management processes,Added,en
http://data.europa.eu/esco/skill/374ff115-fc97-4b64-afc1-86ef14a25e4d,seal wires,altLabel,,fasten communication cables,Added,en
http://data.europa.eu/esco/skill/2065d166-4d1a-4f0b-a43b-e8a15d366400,specialise in conservation-restoration of specific types of objects,altLabel,specialize  in conservation-restoration of specific types of objects,specialize in conservation-restoration of specific types of objects,Updated,en
http://data.europa.eu/esco/skill/d87269e5-722f-451a-8616-4f9e13431e57,supply veterinary medicine,prefLabel,supply veterinary medicine ,supply veterinary medicine,Updated,en
http://data.europa.eu/esco/skill/1fdbb8ac-0f77-4261-b28c-6ff6a46ad096,rail design engineering,description,"The subfield of rail engineering dealing with the design of rail systems including electrical, civil and mechanical components, and the role of innovation and digital technologies to improve design experience and solutions. ","The subfield of rail engineering dealing with the design of rail systems including electrical, civil and mechanical components, and the role of innovation and digital technologies to improve design experience and solutions.",Updated,en
http://data.europa.eu/esco/skill/118a9b27-1c5a-4214-b685-1a4d9e6365ea,computer forensics,altLabel,,forensic IT,Added,en
http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,delegate responsibilities,description,"Delegate responsibilities, activities and tasks to others according to the ability, level of preparation and competence. Make sure that people understand what they should do and when they should do it. ","Delegate responsibilities, activities and tasks to others according to the ability, level of preparation and competence. Make sure that people understand what they should do and when they should do it.",Updated,en
http://data.europa.eu/esco/skill/5b06c369-10db-477d-a8df-987179324001,manage water distribution procedures,description,Ensure the supply systems are maintained and the operations occur efficiently and in compliance with regulations  to ensure proper distribution and supply of water from the facility.,Ensure the supply systems are maintained and the operations occur efficiently and in compliance with regulations to ensure proper distribution and supply of water from the facility.,Updated,en
http://data.europa.eu/esco/skill/61d1dab2-6007-4b7c-9380-cd88207fa30f,disposing of non-hazardous waste or debris,scopeNote,"Examples:
- Handle fish harvesting waste 
- Collect domestic waste","Examples:
- Handle fish harvesting waste - Collect domestic waste.",Updated,en
http://data.europa.eu/esco/skill/92d04a10-eff2-4190-b5da-85e419f8ebbd,translate spoken language simultaneously,altLabel,simultaneously translate spoken language,simultaneously translate spoken language,Updated,en
http://data.europa.eu/esco/skill/bf21bcb8-6660-4f37-b16a-d276cca01474,music literature,altLabel,,trade magazines on music,Added,en
http://data.europa.eu/esco/skill/b3452779-ece5-4cc9-8872-87953f9fe0b4,follow a tech pack,altLabel,apply a list of tech pack materials and accessories ,apply a list of tech pack materials and accessories,Updated,en
http://data.europa.eu/esco/skill/74c0c0d2-aeb8-44b2-b86a-117d0455ae88,composite materials,altLabel,composite  objects,composite objects,Updated,en
http://data.europa.eu/esco/skill/2c361834-286f-4345-89e4-c0bfefc78819,match food with wine,altLabel,offer  advice on the matching of food with wine,offer advice on the matching of food with wine,Updated,en
http://data.europa.eu/esco/skill/65227f84-5d33-44a4-ad4b-1e8571b415c0,ensure gambling operational standards,description,Ensure full compliance within requirements of gambling legislation and regulation. Examples are the implementation of security control procedures and the compilation of performance reports. ,Ensure full compliance within requirements of gambling legislation and regulation. Examples are the implementation of security control procedures and the compilation of performance reports.,Updated,en
http://data.europa.eu/esco/skill/39aa5571-45ce-4ba3-a280-f6870ef0075f,analyse chemical substances,altLabel,analyze  chemical substances,analyze chemical substances,Updated,en
http://data.europa.eu/esco/skill/2c28fc20-8a60-4311-8899-5ef8729c05b3,design process,altLabel,,design-to-cost process,Added,en
http://data.europa.eu/esco/skill/d1a86399-24d8-415f-98b9-e8cbb6b04a26,Unity (digital game creation systems),description,"The game engine Unity which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games.","The game engine Unity which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games.",Updated,en
http://data.europa.eu/esco/skill/d56a2182-14e0-4319-ab2f-0133aa67672b,follow ethical code of conduct in assessment situations,prefLabel,follow ethical code of conduct in assessment situations,follow ethical code of conduct in assessment situations,Updated,en
http://data.europa.eu/esco/skill/4a2a63e6-5c62-43a0-a375-fdf4c2805270,customise software for drive system,altLabel,customize  software for drive system,customize software for drive system,Updated,en
http://data.europa.eu/esco/skill/4f5ccaad-0e4f-4e9f-8246-47765564387d,upgrade firmware,altLabel,,update basic software in network components,Added,en
http://data.europa.eu/esco/skill/f847cac9-d3a9-48ff-968c-3ad579ba6f44,tend grinding mill machine,altLabel,look after  grinding mill machines,look after grinding mill machines,Updated,en
http://data.europa.eu/esco/skill/de41f238-93b5-4122-be08-b7e3b42566c0,integrate Committee on Safe Seas guidelines into inspections,altLabel,include Committee on Safe Seas  guidelines within inspection activities,include Committee on Safe Seas guidelines within inspection activities,Updated,en
http://data.europa.eu/esco/skill/9060ae06-7149-445e-8173-b99a098931ad,assemble manufactured pipeline parts,description,Assemble parts and components made for pipelines in companies or sites. Construct pipeline infrastructures or re-assemble parts that were taken out for repair. ,Assemble parts and components made for pipelines in companies or sites. Construct pipeline infrastructures or re-assemble parts that were taken out for repair.,Updated,en
http://data.europa.eu/esco/skill/c84b98b2-36bd-4742-84b6-9e5c30ce1407,communicate by use of interpretation services,altLabel,communicate using interpretation ,communicate using interpretation,Updated,en
http://data.europa.eu/esco/skill/0aabb61b-5382-490a-bf44-375858f9cd3e,types of tidal stream generators,description,"Different types of generators such as crossflow turbines, flow augmented turbines, venturi effect devices, or tidal kite turbines. They are used to draw energy from water currents, either in rivers, or estuaries profiting the tidal range, as well as in the offshore underwater currents. ","Different types of generators such as crossflow turbines, flow augmented turbines, venturi effect devices, or tidal kite turbines. They are used to draw energy from water currents, either in rivers, or estuaries profiting the tidal range, as well as in the offshore underwater currents.",Updated,en
http://data.europa.eu/esco/skill/c3687b34-fe53-4db2-ad1b-5055a6c5b6fd,organise project meetings,description,"Organise project meetings such as the project kick-off meeting and the project review meeting. Plan the meeting agenda, set up conference calls, address any logistical needs and prepare documentation or hand-outs needed for the meeting. Ensure the participation of the project team, the project client and other relevant stakeholders. Draft and circulate the meeting minutes. ","Organise project meetings such as the project kick-off meeting and the project review meeting. Plan the meeting agenda, set up conference calls, address any logistical needs and prepare documentation or hand-outs needed for the meeting. Ensure the participation of the project team, the project client and other relevant stakeholders. Draft and circulate the meeting minutes.",Updated,en
http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,altLabel,,Agile Software Development Practices,Added,en
http://data.europa.eu/esco/skill/df996a98-202f-4a9b-b088-38c8db03ef1b,create content title,altLabel,,find content title,Added,en
http://data.europa.eu/esco/skill/090b7d62-bd5b-48c8-a339-d33e7992a9ca,swaging machine types,altLabel,forge metal alteration machine  formats,forge metal alteration machine formats,Updated,en
http://data.europa.eu/esco/skill/f5dd06b8-5d17-4932-9d03-957d0c4f5051,perform resource planning,altLabel,,manage resource schedules,Added,en
http://data.europa.eu/esco/skill/4dafe480-f2ae-46b5-bd5e-8d4e538f50c7,identify training needs,altLabel,,identify employee training needs,Added,en
http://data.europa.eu/esco/skill/4095c6dd-3b00-44d1-9308-878e08737e92,create advocacy material,altLabel,develop campaigning and enabling  material,develop campaigning and enabling material,Updated,en
http://data.europa.eu/esco/skill/3c76296d-4bbd-44ba-8eaa-95bf275f79b7,manage ICT project,altLabel,,lead ICT projects,Added,en
http://data.europa.eu/esco/skill/ee44ea03-593b-47b8-b994-f966a44ae08c,maintain the veterinary reception area,description,"Maintain the reception area, including appearance and hygiene, to give a positive impression of the organisation.'","Maintain the reception area, including appearance and hygiene, to give a positive impression of the organisation.'.",Updated,en
http://data.europa.eu/esco/skill/909a28ce-d4b6-4567-9b74-d111f1ed9633,maintain plan for continuity of operations,altLabel,,maintain a systematic plan of methods for business continuity,Added,en
http://data.europa.eu/esco/skill/862920c8-f2d0-4058-8fb8-9f06fbfc2446,develop recycling programs,altLabel,,developing recycling programs,Added,en
http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,Visual Basic,altLabel,,.NET,Added,en
http://data.europa.eu/esco/skill/5063a99f-975b-4a7c-85e3-69ecb375b4d3,internet governance,altLabel,,internet regulation,Added,en
http://data.europa.eu/esco/skill/eb3f26ec-0c3c-462d-a8b7-3bfc8b44c256,analyse text before translation,altLabel,analyze  text before translation,analyze text before translation,Updated,en
http://data.europa.eu/esco/skill/e76dd90d-91c4-49c0-bfd0-dfa2c4c90c81,interpret electronic design specifications,altLabel,,interpret electronic product design specifications,Added,en
http://data.europa.eu/esco/skill/f7fc7bf8-f41d-44af-81e3-09b88e9779e6,testing electrical and mechanical systems or equipment,scopeNote,"Examples:
- Perform test run

Excludes:
- Testing and analysing substances
- Test vehicles
- Inspect cargo

","Examples:
- Perform test run Excludes:
- Testing and analysing substances
- Test vehicles
- Inspect cargo.",Updated,en
http://data.europa.eu/esco/skill/03598f35-15f1-41fa-bd8a-313e74523307,use jewellery equipment,altLabel,use jewelry  equipment,use jewelry equipment,Updated,en
http://data.europa.eu/esco/skill/a800a15c-2d1b-4151-8bf3-b21d47f709a1,develop online community plan,altLabel,,establish online community plan,Added,en
http://data.europa.eu/esco/skill/60482359-eda3-410f-a2cf-05ff1bddef8e,use wrenches,altLabel,apply  a wrench,apply a wrench,Updated,en
http://data.europa.eu/esco/skill/fdff4747-70f6-4f1a-8285-8d31eb3c11e1,provide lawn care,description,"Care for lawns by applying techniques of organic, hybrid and integrated lawn care. Provide all necessary nutrients. ","Care for lawns by applying techniques of organic, hybrid and integrated lawn care. Provide all necessary nutrients.",Updated,en
http://data.europa.eu/esco/skill/e4b6f863-fa9f-4fe7-a984-f948f8c90d24,handle cash flow,description,"Handle the movement of money into or out of a business, project, or financial product. Take bets, pay out winnings and manage the cash flow.
","Handle the movement of money into or out of a business, project, or financial product. Take bets, pay out winnings and manage the cash flow.",Updated,en
http://data.europa.eu/esco/skill/f7c70392-a261-42e9-86a6-fccf3709ac81,driving vehicles,scopeNote,"Includes driving vehicles on and off road capabilities whose purpose is the transportation of goods or people

Examples:
- Drive at high speed","Includes driving vehicles on and off road capabilities whose purpose is the transportation of goods or people Examples:
- Drive at high speed.",Updated,en
http://data.europa.eu/esco/skill/bfd96453-f2fd-43ea-afc1-fb2dc0d7367d,mix construction grouts,altLabel,mixing of  construction grouts,mixing of construction grouts,Updated,en
http://data.europa.eu/esco/skill/bf12b461-1c53-4d81-a395-8ba77f7483c4,investment analysis,altLabel,,post-investment analysis,Added,en
http://data.europa.eu/esco/skill/78affa10-50af-4f02-8e16-a90b7ed84279,ensure product preparation,altLabel,ensure a product  is prepared,ensure a product is prepared,Updated,en
http://data.europa.eu/esco/skill/48061897-4cde-41b6-abee-1ec9fe421b55,define an approach to your fight dicipline,description,Do an analysis of  the work and expertise in fight discipline and use this to find an approach in directing fight actions with the choreographer/director. ,Do an analysis of the work and expertise in fight discipline and use this to find an approach in directing fight actions with the choreographer/director.,Updated,en
http://data.europa.eu/esco/skill/670ebf56-761c-4d3d-865a-db14085b77f7,apply procedures and regulations for eco-labelling,description,"Identify, select and apply procedures and regulations to verify the compliance of specific requirements of EU eco-labelling.  ","Identify, select and apply procedures and regulations to verify the compliance of specific requirements of EU eco-labelling.",Updated,en
http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,make an informed use of the health-care system,description,Identify and select the right preventive and curative services or agencies that offer healthcare services and manage safely the appropriate medications. ,Identify and select the right preventive and curative services or agencies that offer healthcare services and manage safely the appropriate medications.,Updated,en
http://data.europa.eu/esco/skill/ab20726a-14dd-4536-9aa1-6166bc1a5832,evaluate cost of software products,altLabel,,apply methods to evaluate cost of software products,Added,en
http://data.europa.eu/esco/skill/ab20726a-14dd-4536-9aa1-6166bc1a5832,evaluate cost of software products,altLabel,,apply techniques to evaluate cost of software products,Added,en
http://data.europa.eu/esco/skill/e2088cd0-b174-468a-adc0-921efdadb337,sign language,altLabel,German Sign Language ,German Sign Language,Updated,en
http://data.europa.eu/esco/skill/16977544-891e-44d7-86fd-444eadcf90ef,set up a multi-track recording,altLabel,prepare a  multi-track recording,prepare a multi-track recording,Updated,en
http://data.europa.eu/esco/skill/861f3a02-8c0d-45fa-8827-04995649afc5,tend injection moulding machine,altLabel,tend injection molding  machine,tend injection molding machine,Updated,en
http://data.europa.eu/esco/skill/42712170-a746-477c-a102-f153d737f340,order vehicles,altLabel,purchase  vehicles,purchase vehicles,Updated,en
http://data.europa.eu/esco/skill/ed2383a8-d361-4453-99d4-1c88aceffeb4,document prior learning assessments,altLabel,register prior learning assessments ,register prior learning assessments,Updated,en
http://data.europa.eu/esco/skill/8ec9ec6a-d8f2-41e8-a965-09e9d6170308,calculate cost of covering,altLabel,measure  cost of covering,measure cost of covering,Updated,en
http://data.europa.eu/esco/skill/2691f4d8-d090-423f-afd7-9e721f562e8d,advise on public relations,altLabel,help with  a marketing strategy,help with a marketing strategy,Updated,en
http://data.europa.eu/esco/skill/1072f444-8a7d-41c1-aa6f-d536f20d94bf,artistic and creative writing,scopeNote,"Examples:
- write storylines
- create script for artistic production
- write headlines
- perform copywriting

Excludes:
- revise translations
- write computer programmes / coding

","Examples:
- write storylines
- create script for artistic production
- write headlines
- perform copywriting Excludes:
- revise translations
- write computer programmes / coding.",Updated,en
http://data.europa.eu/esco/skill/374dcbaf-1768-4fe2-9176-6642f88af46d,operate grain cleaning machine,altLabel,work a  grain cleaning machine,work a grain cleaning machine,Updated,en
http://data.europa.eu/esco/skill/8bad61b8-75f7-4bdc-b994-f7158f4b90f0,set organisational policies,altLabel,set organizational  policies,set organizational policies,Updated,en
http://data.europa.eu/esco/skill/82507f16-5b2f-4efa-a4da-d326afd7fcd8,interfere with enemy communications,altLabel,prevent  enemy communications,prevent enemy communications,Updated,en
http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,Welsh,description,The Welsh language.,The Welsh language.,Updated,en
http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,Lisp,altLabel,,Lisp software development techniques,Added,en
http://data.europa.eu/esco/skill/4f1afd9d-77a7-40f8-a3c7-fe18b984ce43,telecommunication trunking,altLabel,,telecommunication trunking method,Added,en
http://data.europa.eu/esco/skill/bdf2aa76-360d-429d-a967-bdb691f241fa,"operating kilns, furnaces and drying equipment",scopeNote,"Excludes:
- Operation of ovens for cooking food and machines for drying textiles and garments

Examples:
- Control gas-fired furnace for malt roasting
- Operate smelter
- Operate waste incinerator
- Prepare kiln firebox","Excludes:
- Operation of ovens for cooking food and machines for drying textiles and garments Examples:
- Control gas-fired furnace for malt roasting
- Operate smelter
- Operate waste incinerator
- Prepare kiln firebox.",Updated,en
http://data.europa.eu/esco/skill/e2088cd0-b174-468a-adc0-921efdadb337,sign language,altLabel,Irish Sign Language ,Irish Sign Language,Updated,en
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,altLabel,,SAS testing,Added,en
http://data.europa.eu/esco/skill/ba74f3e5-4494-405c-8d98-7032f2a883ba,advise customers on seafood choices,altLabel,recommend to  customers about seafood,recommend to customers about seafood,Updated,en
http://data.europa.eu/esco/skill/f8413360-6114-40de-a276-c59b764b9913,renewable energy,altLabel,,renewable energy systems and technologies,Added,en
http://data.europa.eu/esco/skill/ce541a71-0eaa-40e7-999d-793d1f16fa4c,adapt efficient food processing practices,altLabel,alter  efficient food processing practices,alter efficient food processing practices,Updated,en
http://data.europa.eu/esco/skill/6eaeea3a-f100-43e4-b694-16a4dc5a79e1,formulate findings,altLabel,formulate conclusions ,formulate conclusions,Updated,en
http://data.europa.eu/esco/skill/075c411b-c5cd-4238-be12-d6b284a4130c,identify information needs of young people,description,Inquire and identify the information needs of young people and adapt services and approach towards their individual or collective needs. ,Inquire and identify the information needs of young people and adapt services and approach towards their individual or collective needs.,Updated,en
http://data.europa.eu/esco/skill/c2d48b3a-1f91-4442-8f18-6c43a589737b,develop media strategy,altLabel,,design media strategy,Added,en
http://data.europa.eu/esco/skill/71717c33-dd63-4acf-b052-a5fd5d9fc490,ensure information privacy,altLabel,,maintain privacy and confidentiality of information,Added,en
http://data.europa.eu/esco/skill/4b2c4de9-43d7-4905-9d58-bc2e7d84b2e1,manage tender processes,altLabel,oversee  tender processes,oversee tender processes,Updated,en
http://data.europa.eu/esco/skill/045df803-cbab-40a9-9ac0-3c4a81ab4b2c,plan team building,altLabel,project  team building,project team building,Updated,en
http://data.europa.eu/esco/skill/e4a7d2be-9cdd-43c6-ab43-8060fe5ad5c8,monitor organisation climate,altLabel,monitor organization  climate,monitor organization climate,Updated,en
http://data.europa.eu/esco/skill/54e60889-c5cc-435f-8d6d-7aefb67e993a,organise participation in local or international events,description,"Apply for and secure a place to participate in local or international exhibitions and competitions.
",Apply for and secure a place to participate in local or international exhibitions and competitions.,Updated,en
